"Task ID","Task Reported Date","Building","Category","Task Type","Level Of Completion","Status","Priority","Problem","Time Left","Asset","Discipline","Finish Date","Task Due By Date","Time Taken"
"B2215M:2020-06/116","07/02/2020 23:59","B2215 - HUAWEI","PPM","PPM",,"COMPLETE","PPM","CO Detector 1M","-1982:01","SV-B2215-00009 - B2215- FL B2 - CO DET","BMS Technician","07/04/2020 09:47","06/03/2020 23:59","0:00"
"B2215M:2020-06/117","07/02/2020 23:59","B2215 - HUAWEI","PPM","PPM","Completed","COMPLETE","PPM","CO Detector 1M","-1982:01","SV-B2215-00010 - B2215- FL B1 - CO DET","BMS Technician","29/02/2020 10:20","06/03/2020 23:59","0:10"
"B2215M:2020-08/102","21/02/2020 23:59","B2215 - HUAWEI","PPM","PPM","Completed","COMPLETE","PPM","Local Control Panel 1M","-1646:01","SV-B2215-00002 - B2215- FL R- CON R - LCP 01","BMS Technician","27/02/2020 07:48","20/03/2020 23:59","0:02"
"SVC-FM:138","20/02/2020 13:15","B2215 - HUAWEI","Civil","BREAKDOWN","Completed","COMPLETE","Low","SV-Walls Painting Requird/ الحوائط تحتاج إلى دهان ","-2304:45",,"Civil Technician","24/02/2020 09:55","22/02/2020 13:15","91:01"
"SVC-FM:139","20/02/2020 14:35","B2215 - HUAWEI","Electrical","BREAKDOWN","Completed","COMPLETE","Very Low","SV-اعطال اخرى بالكهرباء/Other electricity failures  ","-2255:25",,"Electrical Engineer","26/02/2020 15:56","24/02/2020 14:35","0:00"
"SVC-FM:140","20/02/2020 16:04","B2215 - HUAWEI","Mechanical","BREAKDOWN","Completed","COMPLETE","Very Low","SV-سباكه/ اعطال اخرى/  Plumbing / Other failures","-2253:56",,"Mechanical Technician","23/02/2020 13:12","24/02/2020 16:04","44:37"
"SVC-FM:141","22/02/2020 09:35","B2215 - HUAWEI","Electrical","BREAKDOWN","Completed","COMPLETE","Very Low","SV-اعطال اخرى بالكهرباء/Other electricity failures  ","-2212:25",,"Electrical Engineer","26/02/2020 15:58","26/02/2020 09:35","0:00"
"SVC-FM:142","22/02/2020 09:38","B2215 - HUAWEI","Electrical","BREAKDOWN","Completed","COMPLETE","Very Low","SV-اعطال اخرى بالكهرباء/Other electricity failures  ","-2212:22",,"Electrical Engineer","22/02/2020 09:45","26/02/2020 09:38","0:00"
"SVC-FM:143","22/02/2020 10:09","B2215 - HUAWEI","Electrical","BREAKDOWN","Completed","COMPLETE","Very Low","SV-اعطال اخرى بالكهرباء/Other electricity failures  ","-2211:51",,"Electrical Engineer","22/02/2020 10:15","26/02/2020 10:09","0:00"
"SVC-FM:148","23/02/2020 11:07","B2215 - HUAWEI","Mechanical","BREAKDOWN","Completed","COMPLETE","Medium","SV-Toilet Blockage/ إنسداد بالحمام ","-2258:53",,"Plumber Technician","23/02/2020 12:05","24/02/2020 11:07","0:39"
"SVC-FM:149","23/02/2020 11:15","B2215 - HUAWEI","Civil","BREAKDOWN","Completed","COMPLETE","Low","SV-Door/Window Other Issues/ الباب أو الشباك به مشكلات أخرى ","-2234:45",,"Civil Technician","23/02/2020 13:41","25/02/2020 11:15","0:40"
"SVC-FM:150","23/02/2020 11:21","B2215 - HUAWEI","Civil","BREAKDOWN","Completed","COMPLETE","Low","SV-صيانات اثاث/FurniturE maintenance","-2234:39",,"Civil Technician","23/02/2020 13:54","25/02/2020 11:21","0:08"
"SVC-FM:151","23/02/2020 11:27","B2215 - HUAWEI","Mechanical","BREAKDOWN","Completed","COMPLETE","Medium","SV-Toilet Flush Not Working/ سيفون الحمام لا يعمل","-2258:33",,"Mechanical Technician","23/02/2020 12:37","24/02/2020 11:27","0:15"
"SVC-FM:153","23/02/2020 11:34","B2215 - HUAWEI","Electrical","BREAKDOWN","Level 3 Escalation","ASSIGNED","Medium","SV-تغيير لمبات/  changing bulbs","-2258:26",,"Power Technician",,"24/02/2020 11:34","0:00"
"SVC-FM:154","23/02/2020 11:41","B2215 - HUAWEI","Civil","BREAKDOWN","Completed","COMPLETE","Low","SV-تثبيت/ تغيير ستارة/  Install / change curtain","-2234:19",,"Civil Technician","23/02/2020 12:54","25/02/2020 11:41","0:06"
"SVC-FM:156","23/02/2020 11:49","B2215 - HUAWEI","Mechanical","BREAKDOWN","Completed","COMPLETE","Very Low","SV-سباكه/ اعطال اخرى/  Plumbing / Other failures","-2186:11",,"Mechanical Technician","25/02/2020 10:50","27/02/2020 11:49","18:52"
"SVC-FM:162","24/02/2020 09:05","B2215 - HUAWEI","Civil","BREAKDOWN","Completed","COMPLETE","Low","SV-Ceiling Paint Touch Up/ عمل الرتوش الأخيرة الخاصة بدهان السقف","-2212:55",,"Civil Technician","25/02/2020 15:43","26/02/2020 09:05","0:01"
